2025-03-06 02:22:32,735 p=54530 u=dmeta n=ansible | PLAY [Configure OS hardning] ************************************************************************************
2025-03-06 02:22:35,028 p=54530 u=dmeta n=ansible | TASK [Gathering Facts] ******************************************************************************************
2025-03-06 02:22:35,028 p=54530 u=dmeta n=ansible | ok: [arteva1]
2025-03-06 02:22:35,051 p=54530 u=dmeta n=ansible | TASK [config-audit-template : XCCDF Value var_auditd_name_format] ***********************************************
2025-03-06 02:22:35,051 p=54530 u=dmeta n=ansible | ok: [arteva1]
2025-03-06 02:23:02,717 p=54530 u=dmeta n=ansible | TASK [openscap : Scan oscap xccdf] ******************************************************************************
2025-03-06 02:23:02,718 p=54530 u=dmeta n=ansible | changed: [arteva1]
2025-03-06 02:23:07,165 p=54530 u=dmeta n=ansible | TASK [openscap : get arf file] **********************************************************************************
2025-03-06 02:23:07,165 p=54530 u=dmeta n=ansible | changed: [arteva1]
2025-03-06 02:23:08,258 p=54530 u=dmeta n=ansible | TASK [openscap : get report file] *******************************************************************************
2025-03-06 02:23:08,258 p=54530 u=dmeta n=ansible | changed: [arteva1]
2025-03-06 02:23:08,270 p=54530 u=dmeta n=ansible | PLAY RECAP ******************************************************************************************************
2025-03-06 02:23:08,271 p=54530 u=dmeta n=ansible | arteva1                    : ok=5    changed=3    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-08-04 09:07:39,633 p=114287 u=dmeta n=ansible | PLAY [Configure OS hardning] ********************************************************************************************
2026-08-04 09:07:42,230 p=114287 u=dmeta n=ansible | TASK [Gathering Facts] **************************************************************************************************
2026-08-04 09:07:42,231 p=114287 u=dmeta n=ansible | ok: [arteva1]
2026-08-04 09:07:44,758 p=114287 u=dmeta n=ansible | TASK [config-screen-lock : Disable debug-shell SystemD Service - Collect systemd Services Present in the System] ********
2026-08-04 09:07:44,758 p=114287 u=dmeta n=ansible | ok: [arteva1]
2026-08-04 09:07:45,800 p=114287 u=dmeta n=ansible | TASK [config-screen-lock : Disable debug-shell SystemD Service - Ensure debug-shell.service is Masked] ******************
2026-08-04 09:07:45,800 p=114287 u=dmeta n=ansible | ok: [arteva1]
2026-08-04 09:07:46,619 p=114287 u=dmeta n=ansible | TASK [config-screen-lock : Unit Socket Exists - debug-shell.socket] *****************************************************
2026-08-04 09:07:46,620 p=114287 u=dmeta n=ansible | ok: [arteva1]
2026-08-04 09:07:47,461 p=114287 u=dmeta n=ansible | TASK [config-screen-lock : Disable Ctrl-Alt-Del Burst Action] ***********************************************************
2026-08-04 09:07:47,462 p=114287 u=dmeta n=ansible | ok: [arteva1]
2026-08-04 09:07:48,922 p=114287 u=dmeta n=ansible | TASK [config-screen-lock : Disable Ctrl-Alt-Del Reboot Activation] ******************************************************
